Player1,Player2,Result
paper,paper,draw
paper,rock,win
rock,paper,lose
rock,rock,draw
rock,rock,draw
paper,scissors,lose
scissors,paper,win
rock,paper,lose
paper,rock,win
paper,rock,win
paper,scissors,lose
paper,rock,win
rock,rock,draw
rock,rock,draw
scissors,paper,win
scissors,paper,win
paper,scissors,lose
rock,rock,draw
scissors,rock,lose
paper,paper,draw
rock,paper,lose
scissors,scissors,draw
scissors,paper,win
rock,paper,lose
scissors,paper,win
rock,scissors,win
paper,paper,draw
paper,scissors,lose
rock,scissors,win
paper,paper,draw
paper,rock,win
rock,rock,draw
paper,paper,draw
rock,paper,lose
rock,scissors,win
rock,rock,draw
paper,rock,win
scissors,paper,win
rock,scissors,win
scissors,paper,win
paper,rock,win
rock,rock,draw
scissors,paper,win
rock,paper,lose
paper,paper,draw
paper,scissors,lose
paper,paper,draw
paper,scissors,lose
rock,rock,draw
scissors,scissors,draw
scissors,scissors,draw
rock,scissors,win
scissors,scissors,draw
scissors,paper,win
rock,paper,lose
rock,scissors,win
rock,scissors,win
paper,paper,draw
rock,scissors,win
rock,rock,draw
rock,scissors,win
paper,paper,draw
paper,rock,win
paper,scissors,lose
scissors,paper,win
scissors,paper,win
rock,rock,draw
scissors,rock,lose
scissors,rock,lose
scissors,scissors,draw
scissors,rock,lose
rock,paper,lose
paper,scissors,lose
paper,scissors,lose
rock,rock,draw
rock,scissors,win
paper,scissors,lose
rock,scissors,win
rock,scissors,win
rock,paper,lose
scissors,rock,lose
paper,paper,draw
rock,scissors,win
paper,paper,draw
paper,rock,win
paper,paper,draw
paper,scissors,lose
scissors,rock,lose
rock,paper,lose
rock,paper,lose
paper,paper,draw
scissors,scissors,draw
rock,paper,lose
rock,rock,draw
scissors,paper,win
paper,rock,win
scissors,rock,lose
scissors,paper,win
rock,rock,draw
scissors,paper,win
